File_Name	BLEU	chrF++	BERTScore_F1	COMET	COMTAIL
llama_1B_INST_FT_sparseGPT_pruned_structured_75_3_4.tsv	0.0036	0.1983	0.5841	0.3294	0.0953
llama_1B_INST_trans_prompt_sparseGPT_pruned_structured_50_4_8.tsv	1.3414	12.1582	0.6908	0.4556	0.3182
llama_3B_INST_sparseGPT_pruned_unstructured_75.tsv	0.0118	0.1962	0.4857	0.2176	0.0897
Inference_vllm_Llama_3.2_1B_FT.tsv	3.9873	21.8478	0.7652	0.5868	0.579
llama_1B_INST_FT_sparseGPT_pruned_unstructured_25.tsv	2.0219	13.0048	0.7226	0.488	0.4373
llama_1B_INST_trans_prompt_sparseGPT_pruned_structured_75_6_8.tsv	0.0022	0.1768	0.5223	0.2036	0.0967
llama_1B_INST_FT_sparseGPT_pruned_structured_50_2_4.tsv	0.3957	1.0041	0.644	0.3787	0.2173
llama_3B_INST_sparseGPT_pruned_unstructured_25.tsv	3.0621	19.6591	0.7252	0.5354	0.493
llama_1B_INST_trans_prompt_sparseGPT_pruned_structured_25_2_8.tsv	2.4283	19.1317	0.7194	0.5272	0.4672
Inference_vllm_Llama_3.2_1B_Base.tsv	2.7793	20.7709	0.7364	0.5611	0.5301
llama_1B_INST_trans_prompt_sparseGPT_pruned_unstructured_50.tsv	1.139	9.882	0.6589	0.4088	0.2728
llama_3B_INST_sparseGPT_pruned_structured_75_6_8.tsv	0.0035	0.0636	0.441	0.1616	0.0641
llama_1B_INST_FT_sparseGPT_pruned_structured_25_1_4.tsv	1.502	10.4548	0.6998	0.437	0.3395
llama_1B_INST_trans_prompt_sparseGPT_pruned_structured_50_2_4.tsv	1.3388	9.7649	0.6951	0.4476	0.3275
llama_1B_INST_FT_sparseGPT_pruned_structured_50_4_8.tsv	0.6342	1.1432	0.6347	0.3711	0.2009
llama_3B_INST_sparseGPT_pruned_structured_25_1_4.tsv	0.9231	11.3916	0.6776	0.442	0.3195
llama_1B_INST_FT_sparseGPT_pruned_unstructured_75.tsv	0.0094	0.3655	0.598	0.2748	0.1336
llama_3B_INST_sparseGPT_pruned_structured_50_4_8.tsv	0.2257	0.9994	0.6009	0.3525	0.1492
llama_1B_INST_trans_prompt_sparseGPT_pruned_unstructured_25.tsv	2.8873	20.1497	0.7313	0.5474	0.5075
llama_1B_INST_FT_sparseGPT_pruned_structured_25_2_8.tsv	1.8947	12.439	0.716	0.4707	0.3855
Inference_vllm_Llama_3.2_1B_spargegpt_unstructured.tsv	0.2404	2.7181	0.6118	0.3319	0.1633
llama_3B_INST_sparseGPT_pruned_structured_25_2_8.tsv	1.5681	15.3192	0.7088	0.5015	0.4265
llama_1B_INST_trans_prompt_sparseGPT_pruned_unstructured_75.tsv	0.0083	0.1743	0.5165	0.2025	0.0916
llama_1B_INST_trans_prompt_sparseGPT_pruned_structured_75_3_4.tsv	0.0014	0.1462	0.5032	0.2132	0.1711
llama_1B_INST_sparseGPT_pruned_structured_75_3_4.tsv	0.0015	0.1497	0.4786	0.1698	0.1384
llama_1B_INST_FT_sparseGPT_pruned_unstructured_50.tsv	0.5466	3.9668	0.6554	0.3886	0.2245
llama_1B_INST_FT_sparseGPT_pruned_structured_75_6_8.tsv	0.0029	0.1954	0.5377	0.2322	0.0983
Inference_vllm_Llama_3.2_1B_spargegpt_structured.tsv	0.0996	0.6177	0.5641	0.362	0.1597
llama_1B_INST_trans_prompt_sparseGPT_pruned_structured_25_1_4.tsv	2.9313	19.3459	0.72	0.5205	0.4599
